num_attention_heads,hidden_size,train_micro_batch_size_per_gpu,seq_length,vocab_size,train_batch_size,tensor_mp_size,pipeline_mp_size,dp_size,attention_qkv_transform,attention_score,attention_over_value,attention_linear_projection,mlp_h_to_4h,transformer_layer_norm,logit_block,estimated_attention_duration,estimated_attention_throughput,estimated_mlp_duration,estimated_mlp_throughput,estimated_duration,estimated_throughput
16,5408,4,2048,51200,256,1,1,1,195.72,126.755,104.49,228.022,181.316,0.0005,155.089,0.0419,54.451,0.0106,362.632,0.0535,114.275
16,5424,4,2048,51200,256,1,1,1,163.3,73.165,42.844,190.08,163.699,0.0005,164.683,0.0458,50.094,0.0118,327.397,0.0586,104.94
16,5440,4,2048,51200,256,1,1,1,203.45,159.548,138.193,219.689,193.799,0.0005,170.01,0.0387,59.604,0.01,387.598,0.0497,124.386
16,5456,4,2048,51200,256,1,1,1,193.849,74.602,43.087,193.244,160.146,0.0005,160.448,0.0453,51.148,0.0122,320.292,0.0585,106.239
16,5472,4,2048,51200,256,1,1,1,208.003,135.501,102.718,224.387,213.501,0.0005,151.587,0.0427,54.574,0.0092,427.002,0.0529,118.143
16,5488,4,2048,51200,256,1,1,1,195.19,69.473,43.06,192.449,156.458,0.0005,165.517,0.0449,52.175,0.0126,312.916,0.0585,107.435
16,5504,4,2048,51200,256,1,1,1,197.423,152.389,151.192,233.057,190.556,0.0005,167.835,0.0396,59.44,0.0104,381.112,0.0511,123.868
16,5520,4,2048,51200,256,1,1,1,181.593,68.558,42.324,196.188,160.118,0.0005,162.022,0.0464,50.966,0.0125,320.237,0.06,106.079
16,5536,4,2048,51200,256,1,1,1,189.925,132.517,107.31,217.498,177.615,0.0005,155.625,0.0432,55.076,0.0113,355.23,0.0556,115.12
16,5552,4,2048,51200,256,1,1,1,181.956,71.857,42.604,195.579,160.204,0.0005,157.586,0.0474,50.449,0.0126,320.407,0.0611,105.302
16,5568,4,2048,51200,256,1,1,1,201.831,152.262,146.585,230.851,214.7,0.0005,152.254,0.0429,56.032,0.0095,429.401,0.0534,121.049
16,5584,4,2048,51200,256,1,1,1,195.305,74.058,42.829,199.105,147.334,0.0005,156.091,0.0473,51.096,0.0139,294.667,0.0623,104.5
16,5600,4,2048,51200,256,1,1,1,214.349,129.955,108.36,216.641,199.855,0.0005,152.951,0.0435,55.942,0.0103,399.709,0.0548,119.377
16,5616,4,2048,51200,256,1,1,1,113.464,69.049,43.176,200.182,159.586,0.0005,161.341,0.0525,46.517,0.013,319.172,0.0666,98.806
16,5632,4,2048,51200,256,1,1,1,141.239,171.127,156.522,232.403,179.861,0.0005,169.807,0.0434,56.595,0.0116,359.722,0.056,118.115
16,5648,4,2048,51200,256,1,1,1,159.372,68.134,44.09,197.997,161.418,0.0005,148.487,0.0515,47.986,0.013,322.835,0.0655,101.591
16,5664,4,2048,51200,256,1,1,1,138.504,127.442,114.977,219.261,185.224,0.0005,178.127,0.0436,56.939,0.0114,370.448,0.056,119.382
16,5680,4,2048,51200,256,1,1,1,157.55,73.27,44.328,193.531,190.309,0.0005,148.731,0.0517,48.239,0.0111,380.618,0.0639,105.253
16,5696,4,2048,51200,256,1,1,1,139.827,158.469,154.253,225.585,212.628,0.0005,166.835,0.0448,55.936,0.01,425.255,0.0559,120.93
